Date,Close,High,Low,Open,Volume
2005-01-03,62.8513298034668,63.53869337008733,62.68914349034226,63.40740052979519,245900
2005-01-04,61.83960723876953,63.330183750542524,61.43800378809806,62.71232594238622,335500
2005-01-05,61.685142517089844,61.90911581356198,61.28353319502655,61.59246208299945,207000
2005-01-06,62.03267288208008,62.34932655674045,61.90138004287684,62.14852193115893,191300
2005-01-07,61.353050231933594,61.90139625604666,61.3221567512658,61.74692885270773,163700
2005-01-10,61.754638671875,62.063567511065635,61.47660330583618,61.82415045954846,206100
2005-01-11,62.418846130371094,62.720050188590896,62.032686477029934,62.24893494012839,182700
2005-01-12,62.63509750366211,62.69688446522636,62.225769194874594,62.41884903051617,172900
2005-01-13,61.94772720336914,62.47290453642052,61.7546473881639,62.24893124370305,171000
2005-01-14,62.94403076171875,63.137110610681084,62.36479121483177,62.496084097967106,171000
2005-01-18,62.34160232543945,62.50378863880565,61.97861138452715,62.14079769789335,171800
2005-01-19,61.47660827636719,62.13307843001978,61.376208899751894,61.90138620113956,181500
2005-01-20,60.48030090332031,61.01320291559596,60.2872211472583,60.92052251144864,359300
2005-01-21,60.866477966308594,61.09045125500247,60.704291631529216,60.742909950807835,197300
2005-01-24,60.696563720703125,60.9437115238666,60.665676137635636,60.781519304958586,105800
2005-01-25,60.04780960083008,60.20227106280813,59.6230317418998,59.854729827193964,525500
2005-01-26,60.82014846801758,60.9746099802111,60.58845030739829,60.627068631611166,194600
2005-01-27,59.9396858215332,60.10187212545164,59.777499517614764,59.93196098068172,258400
2005-01-28,59.5072135925293,60.07100346871036,59.5072135925293,59.83931117840167,326400
2005-01-31,60.38764572143555,60.457151627549806,60.163672425631134,60.27952149481665,160600
2005-02-01,60.74291229248047,60.827867884305924,60.27952190491426,60.549832473300505,267100
2005-02-02,60.79697036743164,61.09044955185119,60.50348529068402,60.92826322159343,280500
2005-02-03,59.862464904785156,60.10960682160886,59.5071987676216,60.10188197949084,299600
2005-02-04,60.72745132446289,60.758344796871285,60.171386498093874,60.43397217507419,255600
2005-02-07,60.03236770629883,60.27950958866023,59.94741213183141,60.0400866550124,384800
