Date,Close,High,Low,Open,Volume
2005-01-03,-1.7568933240765916e+33,-1.7568933240765916e+33,-1.7568933240765916e+33,-1.7568933240765916e+33,11500
2005-01-04,-1.7568933240765916e+33,-1.7568933240765916e+33,-1.7568933240765916e+33,-1.7568933240765916e+33,16000
2005-01-05,-1.7568933240765916e+33,-1.7568933240765916e+33,-1.7568933240765916e+33,-1.7568933240765916e+33,16000
2005-01-06,-1.7568933240765916e+33,-1.7568933240765916e+33,-1.7568933240765916e+33,-1.7568933240765916e+33,16000
2005-01-07,-1.7568933240765916e+33,-1.7568933240765916e+33,-1.7568933240765916e+33,-1.7568933240765916e+33,15500
2005-01-10,-1.7568933240765916e+33,-1.7568933240765916e+33,-1.7568933240765916e+33,-1.7568933240765916e+33,15500
2005-01-11,-1.7568933240765916e+33,-1.7568933240765916e+33,-1.7568933240765916e+33,-1.7568933240765916e+33,11500
2005-01-12,-1.7568933240765916e+33,-1.7568933240765916e+33,-1.7568933240765916e+33,-1.7568933240765916e+33,5500
2005-01-13,-1.7568933240765916e+33,-1.7568933240765916e+33,-1.7568933240765916e+33,-1.7568933240765916e+33,12500
2005-01-14,-1.7568933240765916e+33,-1.7568933240765916e+33,-1.7568933240765916e+33,-1.7568933240765916e+33,10000
2005-01-18,-1.7568933240765916e+33,-1.7568933240765916e+33,-1.7568933240765916e+33,-1.7568933240765916e+33,11000
2005-01-19,-1.7568933240765916e+33,-1.7568933240765916e+33,-1.7568933240765916e+33,-1.7568933240765916e+33,12500
2005-01-20,-1.7568933240765916e+33,-1.7568933240765916e+33,-1.7568933240765916e+33,-1.7568933240765916e+33,22000
2005-01-21,-1.7568933240765916e+33,-1.7568933240765916e+33,-1.7568933240765916e+33,-1.7568933240765916e+33,10500
2005-01-24,-1.7568933240765916e+33,-1.7568933240765916e+33,-1.7568933240765916e+33,-1.7568933240765916e+33,9000
2005-01-25,-1.7568933240765916e+33,-1.7568933240765916e+33,-1.7568933240765916e+33,-1.7568933240765916e+33,21000
2005-01-26,-1.7568933240765916e+33,-1.7568933240765916e+33,-1.7568933240765916e+33,-1.7568933240765916e+33,12000
2005-01-27,-1.7568933240765916e+33,-1.7568933240765916e+33,-1.7568933240765916e+33,-1.7568933240765916e+33,12500
2005-01-28,-1.7568933240765916e+33,-1.7568933240765916e+33,-1.7568933240765916e+33,-1.7568933240765916e+33,970000
2005-01-31,-1.7568933240765916e+33,-1.7568933240765916e+33,-1.7568933240765916e+33,-1.7568933240765916e+33,10000
2005-02-01,-1.7568933240765916e+33,-1.7568933240765916e+33,-1.7568933240765916e+33,-1.7568933240765916e+33,9000
2005-02-02,-1.7568933240765916e+33,-1.7568933240765916e+33,-1.7568933240765916e+33,-1.7568933240765916e+33,16500
2005-02-03,-1.7568933240765916e+33,-1.7568933240765916e+33,-1.7568933240765916e+33,-1.7568933240765916e+33,217500
2005-02-04,-1.7568933240765916e+33,-1.7568933240765916e+33,-1.7568933240765916e+33,-1.7568933240765916e+33,217500
2005-02-07,-1.7568933240765916e+33,-1.7568933240765916e+33,-1.7568933240765916e+33,-1.7568933240765916e+33,27500
2005-02-08,-1.7568933240765916e+33,-1.7568933240765916e+33,-1.7568933240765916e+33,-1.7568933240765916e+33,27500
2005-02-09,-1.7568933240765916e+33,-1.7568933240765916e+33,-1.7568933240765916e+33,-1.7568933240765916e+33,27500
2005-02-10,-1.7568933240765916e+33,-1.7568933240765916e+33,-1.7568933240765916e+33,-1.7568933240765916e+33,27500
2005-02-11,-1.7568933240765916e+33,-1.7568933240765916e+33,-1.7568933240765916e+33,-1.7568933240765916e+33,27500
2005-02-14,-1.7568933240765916e+33,-1.7568933240765916e+33,-1.7568933240765916e+33,-1.7568933240765916e+33,64000
2005-02-15,-1.7568933240765916e+33,-1.7568933240765916e+33,-1.7568933240765916e+33,-1.7568933240765916e+33,64000
2005-02-16,-1.7568933240765916e+33,-1.7568933240765916e+33,-1.7568933240765916e+33,-1.7568933240765916e+33,18500
2005-02-17,-1.7568933240765916e+33,-1.7568933240765916e+33,-1.7568933240765916e+33,-1.7568933240765916e+33,24500
2005-02-18,-1.7568933240765916e+33,-1.7568933240765916e+33,-1.7568933240765916e+33,-1.7568933240765916e+33,32000
2005-02-22,-1.7568933240765916e+33,-1.7568933240765916e+33,-1.7568933240765916e+33,-1.7568933240765916e+33,10000
